index,brand,series,processor,os,ssd,ram,display,price,link,pricing
10,dell,inspiron 3525, ,windows 11 home,256 gb,8 gb, ,5915862,https://www.flipkart.com/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ffpid=comgcyf9ezkkpewd&lid=lstcomgcyf9ezkkpewdxssfwj&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_83&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcyf9ezkkpewd.search&ssid=3s0bamxoztl6qzgg1653219740289,5000000
11,dell,xps 9305,intel core i5 11th gen,windows 11 home,512 gb,16 gb,13.4,28566610,https://www.flipkart.com/dell-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-xps-9305-thin-light-laptop/p/itm401718e258f55pid=comgbtb4g43budzf&lid=lstcomgbtb4g43budzfpxnsql&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_84&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgbtb4g43budzf.search&ssid=3s0bamxoztl6qzgg1653219740289,28000000
12,lenovo,yoga slim 7,amd ryzen 7 octa core 5th gen,windows 10 home,512 gb,16 gb,14,18940495,https://www.flipkart.com/lenovo-yoga-7i-ryzen-7-octa-core-r7-5800u-5th-gen-16-gb-512-gb-ssd-windows-10-home-14itl5-2-1-laptop/p/itmb3d84b43baa67pid=comgd4y5g53zv9qf&lid=lstcomgd4y5g53zv9qftei6do&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_85&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgd4y5g53zv9qf.search&ssid=3s0bamxoztl6qzgg1653219740289,18000000
13,asus,tuf gaming a15,amd ryzen 7 dual core 7th gen,windows 11 home,512 gb,16 gb,15.6,15840537,https://www.flipkart.com/asus-ryzen-7-dual-core-7th-gen-16-gb-512-gb-hdd-512-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx3050-4gb-fa506ic-hn075w-gaming-laptop/p/itmbc73703ff2567pid=comgctdtpvzhz85k&lid=lstcomgctdtpvzhz85kbrargk&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_86&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgctdtpvzhz85k.search&ssid=3s0bamxoztl6qzgg1653219740289,15000000
14,asus,vivobook 15,amd ryzen 3 quad core 3rd gen,windows 11 home,256 gb,8 gb,15.6,7053410,https://www.flipkart.com/asus-ryzen-3-quad-core-3rd-gen-8-gb-256-gb-ssd-windows-11-home-m515da-br322ws-laptop/p/itm5c15928e928b5pid=comgct6s5pzsvmcr&lid=lstcomgct6s5pzsvmcraik43o&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_87&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgct6s5pzsvmcr.search&ssid=3s0bamxoztl6qzgg1653219740289,7000000
15,asus,rog flow x13,amd ryzen 9 octa core 5th gen,windows 10 home,1 tb,32 gb, ,24814552,https://www.flipkart.com/asus-rog-flow-x13-2021-ryzen-9-octa-core-5900hs-5th-gen-32-gb-1-tb-ssd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-120-hz-gv301qh-k6461ts-2-1-gaming-laptop/p/itmf10a123ac9ff8pid=comgcxnftfhcbrhz&lid=lstcomgcxnftfhcbrhzd9y6nj&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_88&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcxnftfhcbrhz.search&ssid=3s0bamxoztl6qzgg1653219740289,24000000
16,msi,gp66 leopard 11ug,intel core i7 11th gen,windows 10 home,1 tb,16 gb, ,30213086,https://www.flipkart.com/msi-gp66-leopard-core-i7-11th-gen-16-gb-1-tb-ssd-windows-10-home-8-gb-graphics-nvidia-geforce-rtx-3070-240-hz-11ug-gaming-laptop/p/itm35c0e68298bbfpid=comgcyzhga882hqx&lid=lstcomgcyzhga882hqxl71a5z&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_89&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcyzhga882hqx.search&ssid=3s0bamxoztl6qzgg1653219740289,30000000
17,asus,vivobook ultra k15,intel core i3 11th gen,windows 11 home,256 gb,8 gb,15.6,9161092,https://www.flipkart.com/asus-vivobook-15-oled-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-k513ea-l301ws-laptop/p/itm1f81ebe4b317bpid=comgcwvdmtpehc6j&lid=lstcomgcwvdmtpehc6jff7lrd&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_90&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcwvdmtpehc6j.search&ssid=3s0bamxoztl6qzgg1653219740289,9000000
18,realme,book prime,intel core i5 11th gen,windows 11 home,512 gb,16 gb,14,12406321,https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm41059a863fc02pid=comgcwbefhwxxy5a&lid=lstcomgcwbefhwxxy5ardakyj&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_91&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcwbefhwxxy5a.search&ssid=3s0bamxoztl6qzgg1653219740289,12000000
19,realme,book prime,intel core i5 11th gen,windows 11 home,512 gb,16 gb,14,12406321,https://www.flipkart.com/realme-book-prime-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-cloudpro002-thin-light-laptop/p/itm7d1b1a9d3579bpid=comgcwbedbygsma6&lid=lstcomgcwbedbygsma6udvmc8&marketplace=flipkart&store=6bo%2fb5g&srno=b_4_92&otracker=browse&otracker1=hp_rich_navigation_pinned_neo%2fmerchandising_na_nav_expandable_navigationcard_cc_8_l1_view-all&iid=ea708dc0-b248-4808-91aa-11961fc788e8.comgcwbedbygsma6.search&ssid=3s0bamxoztl6qzgg1653219740289,12000000
